"V160001","V160101","V160201","V160202","V161003","V161009","V161010d","V161010e","V161011","V161014","V161015a","V161015b","V161015c","V161015d","V161015e","V161017","V161019","V161020","V161021","V161021a","V161023","V161024x","V161026","V161027","V161028","V161030","V161031","V161032","V161033","V161034","V161035","V161036","V161037","V161038","V161039","V161040","V161041","V161042","V161043","V161044","V161045x","V161046","V161047","V161048","V161049","V161050","V161051","V161052","V161053","V161054","V161055","V161056","V161057","V161058","V161059","V161060","V161061","V161062","V161063","V161064x","V161065x","V161066x","V161067x","V161080","V161080x","V161086","V161087","V161095","V161096","V161132","V161133","V161134a","V161134b","V161135a","V161135b","V161145","V161146","V161147","V161148","V161149","V161150a","V161150b","V161151a","V161151b","V161151x","V161155","V161156","V161157","V161158x","V161136","V161267","V161267x","V161310x","V162031","V162031x","V162034","V162034a","V162046","V161220","V161264x","V161265x","V161270","V161330","V161331a","V161331b","V161331x","V161339","V161340","V161341"
1164,0.5568,114,1,1,1,24,"MD",1,-1,1,24,1,0,1,3,1,-1,1,2,-1,3,-1,-1,-1,1,1,2,-1,-1,-1,-1,-1,-1,1,1,-1,-1,-1,-1,11,-1,-1,-1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,20,20,20,-1,2,4,60,0,60,0,10,1,90,10,90,10,1,1,2,1,2,1,-1,1,-1,1,3,-1,3,3,1,59,9,1,4,1,1,1,1,1,880,8,12,24,7,0,7,1,2,-1
1165,2.8367,113,2,4,4,39,"OH",1,-1,1,39,1,0,0,2,-1,-1,2,-1,-1,3,-1,-1,-1,1,2,1,-1,-1,-1,-1,-1,-1,1,2,-1,-1,-1,-1,11,-1,-1,-1,1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,21,21,21,-1,-8,-2,0,85,30,70,10,1,-8,-8,30,70,1,2,1,2,1,2,-1,-1,1,7,2,2,-1,6,3,25,3,1,4,1,1,2,1,2,10,5,11,39,23,0,23,1,2,-1
1166,0.2264,109,2,3,3,17,"IL",3,-1,-1,-1,-1,-1,-1,-1,-1,2,2,-1,-1,1,-1,-1,-1,-1,-1,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,2,-1,-1,10,-1,-1,-1,-1,-1,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,3,15,0,30,30,10,5,55,45,65,35,1,1,1,1,2,2,-1,-1,1,7,2,2,-1,6,3,34,4,3,-6,-2,-6,-6,-6,3,400,4,14,17,2,0,2,1,1,-1
1167,0.6896,133,1,1,2,6,"CA",1,-1,1,6,1,0,1,2,1,-1,2,-1,-1,3,-1,-1,-1,1,1,1,-1,-1,-1,-1,-1,-1,1,-1,1,-1,-1,-1,11,-1,-1,-1,1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,20,20,20,-1,2,4,50,0,100,0,10,1,55,30,75,25,1,1,2,1,2,-1,1,-1,1,7,1,1,-1,1,2,52,8,6,-6,-2,-6,-6,-6,1,257,3,11,6,7,0,7,1,2,-1
1168,1.7624,131,2,1,3,35,"NM",1,-1,1,35,0,0,1,3,1,-1,1,5,-1,3,-1,-1,-1,1,3,2,-1,-1,-1,-1,-1,-1,1,1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,22,20,-1,-1,2,4,40,50,0,0,20,-1,-1,-1,-1,-1,5,1,1,1,2,-1,1,-1,3,5,1,2,-1,2,2,48,7,5,4,1,1,3,-1,3,400,4,9,35,40,9,40,1,2,-1
1169,1.1407,101,3,1,2,25,"MA",2,-1,0,23,0,0,1,3,2,-1,2,-1,2,4,1,5,1,-1,-1,-1,-1,-1,-1,1,-1,2,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,12,11,-1,-1,2,3,30,0,40,60,21,-1,-1,-1,-1,-1,1,1,2,1,2,1,-1,1,-1,1,2,2,-1,6,2,28,3,1,-1,1,-1,-1,-1,2,503,6,14,23,1,6,1,1,1,-1
1170,0.6036,114,2,2,2,24,"MD",1,-1,1,24,1,0,1,2,1,-1,1,2,-1,3,-1,-1,-1,1,1,1,-1,-1,-1,-1,-1,-1,1,1,-1,-1,-1,-1,11,-1,-1,-1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,20,20,20,-1,2,4,85,0,100,15,10,1,55,40,65,30,1,1,1,1,2,-1,2,1,-1,1,1,1,-1,1,1,37,5,1,4,1,1,1,1,1,10,5,14,51,2,0,2,1,1,-1
1171,1.4991,124,2,1,1,48,"TX",1,-1,1,48,0,0,0,3,-1,-1,1,4,-1,3,-1,-1,-1,1,2,1,-1,-1,-1,-1,-1,-1,2,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,21,-1,-1,-1,2,4,0,70,40,40,20,-1,-1,-1,-1,-1,1,1,1,2,2,-1,1,-1,2,6,2,2,-1,6,2,50,8,1,4,1,1,2,-1,3,880,8,10,48,18,0,18,1,2,-1
1172,0.7705,108,2,4,4,20,"KS",1,-1,1,20,1,0,1,3,2,-1,1,4,-1,3,-1,-1,-1,1,2,2,-1,-1,-1,-1,-1,-1,1,-1,2,-1,-1,-1,11,-1,-1,-1,1,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,21,21,21,-1,2,4,15,50,40,70,20,-1,-1,-1,-1,-1,2,2,1,2,1,1,-1,1,-1,1,2,2,-1,6,2,90,13,1,4,1,1,2,1,2,230,1,9,20,21,0,21,1,2,-1
1173,0.4732,132,2,3,3,8,"CO",1,-1,1,8,1,0,1,3,4,-1,2,-1,-1,3,-1,-1,-1,1,2,1,-1,-1,-1,-1,-1,-1,2,-1,-1,-1,-1,-1,11,-1,-1,-1,1,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,21,-1,21,-1,2,4,30,70,40,60,20,-1,-1,-1,-1,-1,2,2,1,-8,1,1,-1,1,-1,1,3,-1,1,5,2,76,13,1,4,1,1,2,1,3,230,1,10,8,40,0,40,1,1,-1
1174,0.6149,109,2,2,3,17,"IL",1,-1,1,17,1,0,0,2,-1,-1,2,-1,-1,3,-1,-1,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,1,2,-1,-1,-1,-1,11,-1,-1,-1,1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,21,21,-1,2,3,0,40,30,60,20,-1,-1,-1,-1,-1,1,1,2,1,2,-1,3,-1,-1,4,2,2,-1,6,1,36,5,3,-6,-2,-6,-6,-6,3,400,4,13,17,2,10,3,1,1,-1
1175,1.3355,106,2,3,-1,9,"CT",2,-1,0,12,1,0,1,1,4,-1,2,-1,-1,3,-1,-1,-1,1,2,2,-1,-1,-1,-1,-1,-1,1,-1,2,-1,-1,-1,11,-1,-1,-1,1,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,21,21,21,-1,2,3,0,15,0,15,20,-1,-1,-1,-1,-1,3,2,1,1,2,-1,1,-1,2,6,3,-1,1,5,2,19,1,1,4,1,1,2,1,1,149,2,10,13,1,0,1,2,1,-1
1176,1.4078,117,1,2,1,47,"TN",1,-1,1,47,0,0,0,3,-1,-1,1,4,1,4,1,2,1,-1,-1,-1,-1,-1,-1,1,2,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,11,11,-1,-1,1,1,0,100,0,100,21,-1,-1,-1,-1,-1,1,2,1,2,2,2,-1,-1,1,7,2,1,-1,7,2,61,10,1,-1,1,-1,-1,-1,3,135,2,10,47,12,0,12,1,2,-1
1177,1.0449,115,2,2,2,11,"DC",1,-1,1,11,0,0,1,2,1,-1,2,-1,-1,3,-1,-1,-1,1,1,1,-1,-1,-1,-1,-1,-1,1,1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,20,20,-1,-1,2,4,90,0,75,10,20,-1,-1,-1,-1,-1,1,1,2,1,2,1,-1,1,-1,1,1,1,-1,1,2,52,8,1,4,1,1,1,-1,1,400,4,16,33,6,2,6,1,1,-1
1178,1.323,117,2,4,4,37,"NC",1,-1,1,37,1,1,1,3,4,-1,2,-1,-1,3,-1,-1,-1,1,-8,-1,-1,-1,-1,-1,-1,-1,2,-1,-1,-1,-1,-1,31,-1,-1,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,2,-1,-1,-1,-1,-1,-1,21,2,3,40,60,50,50,20,-1,-1,-1,-1,-1,5,2,1,2,1,2,-1,-1,2,6,3,-1,1,5,2,41,6,1,-6,-2,-6,-6,-6,2,135,2,9,37,20,0,20,1,1,-1
1179,0.552,123,1,1,3,5,"AR",2,5,1,5,1,0,1,-1,2,-1,2,-1,-1,3,-1,-1,-1,1,3,2,-1,-1,-1,-1,-1,-1,1,-1,2,-1,-1,-1,11,-1,-1,-1,1,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,22,21,21,-1,1,2,0,0,15,15,20,-1,-1,-1,-1,-1,5,1,1,2,2,2,-1,-1,1,7,2,1,-1,7,3,28,3,1,3,0,-1,-1,-1,3,10,5,13,5,1,3,1,1,2,-1
1180,1.4148,133,2,3,3,6,"CA",1,-1,1,6,1,0,1,3,1,-1,1,1,-1,3,-1,-1,-1,1,1,2,-1,-1,-1,-1,-1,-1,1,-8,-1,-1,-1,-1,11,-1,-1,-1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,20,-1,20,-1,1,2,70,0,85,50,20,-1,-1,-1,-1,-1,1,1,2,1,2,-1,2,1,-1,1,1,1,-1,1,1,66,11,1,4,1,1,1,1,1,400,4,16,6,40,0,40,1,1,-1
2001,1.7885,1,2,4,3,6,"CA",1,-1,1,6,1,0,1,3,1,-1,1,2,-1,3,-1,-1,-1,1,1,1,-1,-1,-1,-1,-1,-1,1,1,-1,-1,-1,-1,11,-1,-1,-1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,20,20,20,-1,1,2,71,2,51,50,20,-1,-1,-1,-1,-1,1,1,1,1,1,-1,1,-1,2,6,3,-1,2,4,3,51,8,1,4,1,1,1,1,1,99,5,11,6,20,4,20,1,1,-1
2002,3.4315,2,2,4,4,51,"VA",3,-1,-1,-1,-1,-1,-1,-1,-1,2,2,-1,-1,1,-1,-1,-1,-1,-1,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,2,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,2,50,-99,53,54,20,-1,-1,-1,-1,-1,5,2,2,2,2,2,-1,-1,3,5,3,-1,2,4,3,26,3,1,-1,-2,-1,-1,-1,2,880,8,9,51,26,4,26,2,2,1
2003,0.9864,3,2,2,2,6,"CA",1,-1,1,6,1,0,1,1,2,-1,1,1,2,4,1,1,1,-1,-1,-1,-1,-1,-1,1,1,-1,-1,-1,-1,-1,-1,-1,11,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10,10,10,-1,2,4,85,0,50,40,21,-1,-1,-1,-1,-1,1,1,1,1,2,-1,2,1,-1,1,2,2,-1,6,1,56,9,1,-1,1,-1,-1,-1,2,400,4,12,6,40,0,40,2,2,2
2004,2.996,4,1,4,3,6,"CA",1,-1,1,6,1,0,1,1,1,-1,1,2,-1,3,-1,-1,-1,1,1,1,-1,-1,-1,-1,-1,-1,1,1,-1,-1,-1,-1,11,-1,-1,-1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,20,20,20,-1,2,4,70,0,85,40,10,1,60,40,70,30,1,1,1,1,2,-1,2,2,-1,2,1,1,-1,1,2,20,1,5,4,1,1,1,1,1,400,4,10,6,20,0,20,1,1,-1
2005,0.4602,5,1,3,3,48,"TX",1,-1,1,48,0,0,0,3,-1,-1,1,3,-1,3,-1,-1,-1,1,5,2,-1,-1,-1,-1,-1,-1,1,2,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,22,21,-1,-1,1,2,42,50,56,40,10,1,49,51,40,60,3,2,1,2,1,-1,2,1,-1,1,5,-1,3,3,2,26,3,1,4,1,1,2,-1,3,99,5,10,48,25,8,26,1,2,-1
2006,1.0288,8,1,3,3,37,"NC",2,-1,1,37,1,1,1,3,1,-1,2,-1,-1,3,-1,-1,-1,1,1,1,-1,-1,-1,-1,-1,-1,1,1,-1,-1,-1,-1,31,-1,-1,-1,1,1,-1,-1,-1,-1,-1,-1,-1,1,1,-1,-1,-1,-1,20,20,20,20,2,4,70,0,99,10,10,1,62,38,62,38,1,1,1,2,1,1,-1,1,-1,1,1,1,-1,1,1,41,6,1,4,1,1,1,1,2,135,2,9,37,1,3,1,1,2,-1
2007,0.4232,8,2,2,1,37,"NC",1,-1,1,37,1,1,1,2,1,-1,2,-1,-1,3,-1,-1,-1,1,1,1,-1,-1,-1,-1,-1,-1,1,1,-1,-1,-1,-1,31,-1,-1,-1,1,1,-1,-1,-1,-1,-1,-1,-1,1,1,-1,-1,-1,-1,20,20,20,20,1,2,90,0,80,0,20,-1,-1,-1,-1,-1,1,1,1,2,1,-1,2,1,-1,1,1,1,-1,1,1,25,3,1,4,1,1,1,1,1,880,8,13,37,3,1,3,1,2,-1
2008,3.2933,9,1,2,1,48,"TX",1,-1,1,48,0,0,0,3,-1,-1,1,5,-1,3,-1,-1,-1,1,2,1,-1,-1,-1,-1,-1,-1,1,2,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,21,21,-1,-1,2,4,0,100,0,70,10,2,30,70,10,90,1,2,2,2,2,-1,2,1,-1,1,2,1,-1,7,1,60,10,1,4,1,1,2,-1,1,230,1,9,26,12,0,12,1,2,-1
2009,0.7222,9,2,1,2,8,"CO",1,-1,1,8,1,0,1,3,1,-1,1,1,-1,3,-1,-1,-1,1,1,1,-1,-1,-1,-1,-1,-1,1,2,-1,-1,-1,-1,11,-1,-1,-1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,20,21,20,-1,2,4,85,0,70,15,10,1,75,20,70,30,1,1,2,1,2,1,-1,1,-1,1,1,1,-1,1,1,64,10,1,4,1,1,1,1,1,880,8,10,8,17,6,17,1,1,-1
2010,1.0571,11,1,4,4,42,"PA",3,-1,-1,-1,-1,-1,-1,-1,-1,2,2,-1,-1,1,-1,-1,-1,-1,-1,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,2,-1,-1,10,-1,-1,-1,-1,-1,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,2,60,0,60,70,20,-1,-1,-1,-1,-1,5,1,1,1,1,-1,1,-1,2,6,3,-1,2,4,3,49,7,1,-1,-2,-1,-1,-1,2,880,8,10,30,18,10,19,1,2,-1
2011,1.2798,14,2,3,4,32,"NV",1,-1,1,32,1,0,1,1,1,-1,2,-1,-1,3,-1,-1,-1,1,1,1,-1,-1,-1,-1,-1,-1,2,-1,-1,-1,-1,-1,11,-1,-1,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,20,-1,-1,-1,2,3,85,0,85,30,20,-1,-1,-1,-1,-1,2,1,1,1,1,2,-1,-1,1,7,1,2,-1,2,3,36,5,2,4,1,1,1,1,3,199,2,13,17,14,4,14,1,1,-1
2012,0.6143,17,1,4,2,37,"NC",1,-1,1,37,1,1,1,1,4,-1,2,-1,-1,3,-1,-1,-1,1,2,2,-1,-1,-1,-1,-1,-1,1,2,-1,-1,-1,-1,31,-1,-1,-1,1,2,-1,-1,-1,-1,-1,-1,-1,1,1,-1,-1,-1,-1,21,21,21,20,2,4,15,48,39,57,20,-1,-1,-1,-1,-1,3,2,1,1,1,2,-1,-1,2,6,3,-1,2,4,3,62,10,6,4,1,1,2,1,2,220,1,9,39,14,2,14,2,2,1
2013,0.8567,18,1,1,2,24,"MD",2,-1,1,24,1,0,1,3,2,-1,1,4,-1,3,-1,-1,-1,1,2,1,-1,-1,-1,-1,-1,-1,1,-1,2,-1,-1,-1,11,-1,-1,-1,1,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,21,21,21,-1,2,4,15,60,0,60,20,-1,-1,-1,-1,-1,1,2,1,1,2,3,-1,-1,-1,4,2,1,-1,7,3,59,9,1,4,1,1,2,1,2,110,1,13,24,23,0,23,1,1,-1
2014,1.5107,20,1,1,2,48,"TX",1,-1,1,48,0,0,0,2,-1,-1,2,-1,-1,3,-1,-1,-1,1,2,1,-1,-1,-1,-1,-1,-1,1,1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,21,20,-1,-1,2,4,0,71,0,40,20,-1,-1,-1,-1,-1,1,2,1,2,2,-1,2,2,-1,2,3,-1,1,5,2,55,9,1,4,1,1,2,-1,2,220,1,10,48,6,1,6,2,2,1
2015,0.8361,21,1,1,2,5,"AR",1,-1,1,5,1,0,1,3,1,-1,1,2,-1,3,-1,-1,-1,1,2,1,-1,-1,-1,-1,-1,-1,1,2,-1,-1,-1,-1,11,-1,-1,-1,1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,21,21,21,-1,1,2,2,91,10,69,20,-1,-1,-1,-1,-1,1,1,1,2,2,1,-1,1,-1,1,3,-1,1,5,2,34,4,1,4,1,1,2,1,1,230,1,14,5,34,0,34,1,2,-1
2016,1.5145,22,2,2,2,48,"TX",1,-1,1,48,0,0,0,3,-1,-1,2,-1,-1,3,-1,-1,-1,1,2,1,-1,-1,-1,-1,-1,-1,1,2,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,21,21,-1,-1,2,4,0,70,30,70,10,2,45,55,40,60,2,2,1,2,2,-1,1,-1,2,6,3,-1,1,5,2,59,9,1,4,1,1,2,-1,2,301,7,10,42,30,2,30,1,2,-1
2017,1.847,23,1,2,3,36,"NY",1,-1,1,36,1,0,1,1,1,-1,2,-1,-1,3,-1,-1,-1,1,1,1,-1,-1,-1,-1,-1,-1,1,5,-1,-1,-1,-1,11,-1,-1,-1,1,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,20,22,22,-1,1,2,80,0,100,0,10,1,60,40,60,40,1,1,2,1,2,-1,1,-1,1,7,1,1,-1,1,3,34,4,2,-7,-2,-7,-7,-7,1,400,4,10,36,33,11,34,1,2,-1
2018,0.8221,25,2,2,3,54,"WV",1,-1,1,54,0,1,1,3,1,-1,1,1,-1,3,-1,-1,-1,1,1,1,-1,-1,-1,-1,-1,-1,1,1,-1,-1,-1,-1,21,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,2,-1,-1,-1,-1,20,20,-1,21,2,4,90,0,85,10,20,-1,-1,-1,-1,-1,1,1,1,2,2,1,-1,1,-1,1,1,1,-1,1,1,63,10,1,3,0,-1,-1,-1,1,880,8,16,6,17,1,17,1,2,-1
2019,0.9864,26,2,2,2,6,"CA",1,-1,1,6,1,0,1,2,2,-1,1,4,-1,3,-1,-1,-1,1,2,1,-1,-1,-1,-1,-1,-1,1,2,-1,-1,-1,-1,11,-1,-1,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,21,21,-1,-1,2,4,2,77,1,70,10,1,48,52,70,30,1,2,1,1,2,-1,1,-1,2,6,2,1,-1,7,2,45,7,1,4,1,1,2,1,2,221,2,12,6,5,1,5,1,1,-1
2020,1.5188,27,1,1,1,37,"NC",1,-1,1,37,1,1,1,3,1,-1,1,3,-1,3,-1,-1,-1,1,2,1,-1,-1,-1,-1,-1,-1,1,2,-1,-1,-1,-1,31,-1,-1,-1,1,2,-1,-1,-1,-1,-1,-1,-1,1,2,-1,-1,-1,-1,21,21,21,21,2,4,0,85,0,40,20,-1,-1,-1,-1,-1,1,2,1,2,2,-1,2,1,-1,1,3,-1,1,5,3,55,9,6,-6,-2,-6,-6,-6,2,135,2,10,37,15,9,16,1,1,-1
2021,1.9507,27,2,2,2,26,"MI",1,-1,1,26,0,0,0,3,-1,-1,1,4,-1,3,-1,-1,-1,1,2,1,-1,-1,-1,-1,-1,-1,1,2,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,21,21,-1,-1,1,2,0,60,0,100,10,1,48,52,50,50,2,2,2,2,1,-1,2,2,-1,2,2,1,-1,7,1,57,9,1,4,1,1,2,-1,1,10,5,13,26,10,0,10,2,2,2
2022,2.0289,28,1,3,3,45,"SC",1,-1,1,45,1,0,0,2,-1,-1,2,-1,-1,3,-1,-1,-1,1,5,1,-1,-1,-1,-1,-1,-1,1,2,-1,-1,-1,-1,11,-1,-1,-1,1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,22,21,21,-1,2,4,30,0,60,15,10,1,67,25,60,40,1,5,1,1,2,1,-1,1,-1,1,3,-1,2,4,1,21,2,2,4,1,1,1,1,3,149,2,11,45,18,0,18,1,2,-1
2023,0.3874,28,2,1,1,39,"OH",1,-1,1,39,1,0,0,1,-1,-1,2,-1,-1,3,-1,-1,-1,1,1,2,-1,-1,-1,-1,-1,-1,1,1,-1,-1,-1,-1,11,-1,-1,-1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,20,20,20,-1,2,4,76,3,61,32,20,-1,-1,-1,-1,-1,1,1,1,2,1,1,-1,1,-1,1,3,-1,3,3,2,58,9,1,4,1,1,1,1,1,880,8,10,36,0,11,1,1,2,-1
2024,1.0349,30,1,2,3,34,"NJ",2,-1,1,34,0,0,1,3,2,-1,2,-1,-1,3,-1,-1,-1,1,5,1,-1,-1,-1,-1,-1,-1,2,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,22,-1,-1,-1,1,2,30,15,85,70,20,-1,-1,-1,-1,-1,1,2,1,2,2,1,-1,2,-1,2,2,1,-1,7,2,25,3,1,4,1,1,1,-1,1,880,8,13,34,0,8,1,1,1,-1
2025,1.3186,31,2,3,3,13,"GA",3,-1,-1,-1,-1,-1,-1,-1,-1,1,2,-1,-1,2,-1,-1,-1,1,2,1,-1,-1,-1,-1,-1,-1,1,2,-1,-1,-1,-1,10,-1,-1,-1,1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,21,21,21,-1,1,1,0,100,100,50,20,-1,-1,-1,-1,-1,1,2,2,2,2,-1,1,-1,1,7,1,1,-1,1,3,52,8,1,-1,-2,-1,-1,-1,2,135,2,9,45,20,4,20,1,2,-1
2026,0.5522,38,1,1,1,47,"TN",1,-1,1,47,0,0,0,3,-1,-1,1,1,-1,3,-1,-1,-1,1,1,1,-1,-1,-1,-1,-1,-1,1,1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,20,20,-1,-1,2,3,85,2,86,50,10,1,65,30,50,20,1,1,1,1,1,-1,1,-1,1,7,1,1,-1,1,2,65,11,2,4,1,1,1,-1,1,133,2,10,47,40,10,40,1,1,-1
2027,1.5188,38,2,3,3,37,"NC",1,-1,1,37,1,1,1,3,2,-1,1,8,-1,3,-1,-1,-1,1,2,2,-1,-1,-1,-1,-1,-1,1,2,-1,-1,-1,-1,31,-1,-1,-1,1,2,-1,-1,-1,-1,-1,-1,-1,1,2,-1,-1,-1,-1,21,21,21,21,2,3,15,70,30,70,10,1,46,48,45,49,2,2,1,2,1,-1,2,2,-1,2,2,1,-1,7,2,57,9,1,4,1,1,2,1,2,135,2,13,37,30,0,30,1,1,-1
2028,0.6845,40,2,1,1,6,"CA",1,-1,1,6,1,0,1,3,4,-1,2,-1,-1,3,-1,-1,-1,1,2,1,-1,-1,-1,-1,-1,-1,1,2,-1,-1,-1,-1,11,-1,-1,-1,1,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,21,21,22,-1,2,4,0,85,0,70,20,-1,-1,-1,-1,-1,1,2,1,2,1,-1,2,1,-1,1,3,-1,1,5,2,69,11,1,4,1,1,2,1,1,99,5,10,6,40,0,40,1,1,-1
2029,1.5861,43,2,4,3,6,"CA",1,-1,1,6,1,0,1,1,4,-1,2,-1,-1,3,-1,-1,-1,1,2,2,-1,-1,-1,-1,-1,-1,2,-1,-1,-1,-1,-1,11,-1,-1,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,21,-1,-1,-1,2,4,30,40,60,30,20,-1,-1,-1,-1,-1,3,2,2,2,2,-1,3,-1,-1,4,1,1,-1,1,2,22,2,1,4,1,1,2,1,3,880,8,10,6,9,0,9,1,2,-1
2030,0.8959,45,1,3,3,4,"AZ",1,-1,1,4,1,0,1,3,4,-1,1,6,-1,3,-1,-1,-1,1,5,2,-1,-1,-1,-1,-1,-1,1,2,-1,-1,-1,-1,11,-1,-1,-1,1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,22,21,21,-1,2,4,0,15,15,50,10,1,52,48,48,52,2,1,2,2,1,1,-1,1,-1,1,3,-1,1,5,2,54,8,1,4,1,1,2,1,1,10,5,14,18,8,8,9,1,1,-1
2031,0.9221,45,2,2,3,9,"CT",1,-1,1,9,1,0,1,3,2,-1,1,1,-1,3,-1,-1,-1,1,1,1,-1,-1,-1,-1,-1,-1,1,2,-1,-1,-1,-1,11,-1,-1,-1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,20,21,20,-1,2,4,99,4,72,53,10,1,100,0,80,20,1,1,2,1,2,-1,1,-1,1,7,3,-1,3,3,2,55,9,1,1,0,-1,-1,-1,2,400,4,14,9,22,2,22,1,1,-1
2032,0.6866,47,1,2,2,42,"PA",1,-1,1,42,1,0,1,3,1,-1,1,1,-1,3,-1,-1,-1,1,1,1,-1,-1,-1,-1,-1,-1,2,-1,-1,-1,-1,-1,11,-1,-1,-1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,20,-1,20,-1,2,4,96,54,90,71,20,-1,-1,-1,-1,-1,2,1,1,1,1,2,-1,-1,2,6,3,-1,3,3,2,46,7,2,4,1,1,1,1,1,10,5,12,42,10,0,10,2,2,2
2033,0.9151,48,1,2,2,39,"OH",1,-1,1,39,1,0,0,3,-1,-1,1,1,-1,3,-1,-1,-1,1,1,2,-1,-1,-1,-1,-1,-1,1,2,-1,-1,-1,-1,11,-1,-1,-1,1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,20,21,21,-1,2,4,60,15,40,40,20,-1,-1,-1,-1,-1,1,1,2,1,1,-1,2,1,-1,1,3,-1,2,4,2,46,7,1,-6,-2,-6,-6,-6,2,400,4,14,39,19,4,19,1,2,-1
