"V160001","V160101","V160201","V160202","V161003","V161009","V161010d","V161010e","V161011","V161014","V161015a","V161015b","V161015c","V161015d","V161015e","V161017","V161019","V161020","V161021","V161021a","V161023","V161024x","V161026","V161027","V161028","V161030","V161031","V161032","V161033","V161034","V161035","V161036","V161037","V161038","V161039","V161040","V161041","V161042","V161043","V161044","V161045x","V161046","V161047","V161048","V161049","V161050","V161051","V161052","V161053","V161054","V161055","V161056","V161057","V161058","V161059","V161060","V161061","V161062","V161063","V161064x","V161065x","V161066x","V161067x","V161080","V161080x","V161086","V161087","V161095","V161096","V161132","V161133","V161134a","V161134b","V161135a","V161135b","V161145","V161146","V161147","V161148","V161149","V161150a","V161150b","V161151a","V161151b","V161151x","V161155","V161156","V161157","V161158x","V161136","V161267","V161267x","V161310x","V162031","V162031x","V162034","V162034a","V162046","V161220","V161264x","V161265x","V161270","V161330","V161331a","V161331b","V161331x","V161339","V161340","V161341"
2512,0.9251,41,1,1,1,11,"DC",1,-1,1,11,0,0,1,2,1,-1,2,-1,-1,3,-1,-1,-1,1,1,1,-1,-1,-1,-1,-1,-1,2,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,20,-1,-1,-1,2,3,60,0,70,15,10,1,58,42,99,1,1,1,2,1,2,-1,2,1,-1,1,1,1,-1,1,1,54,8,1,4,1,1,1,-1,1,400,4,14,36,5,0,5,1,1,-1
2513,1.2043,41,2,1,1,34,"NJ",1,-1,1,34,0,0,1,1,1,-1,1,1,-1,3,-1,-1,-1,1,1,1,-1,-1,-1,-1,-1,-1,1,2,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,20,21,-1,-1,1,2,70,15,85,30,10,1,70,20,70,20,1,1,2,1,2,-1,2,1,-1,1,1,1,-1,1,2,49,7,1,4,1,1,1,-1,1,10,5,10,34,40,0,40,1,2,-1
2514,1.0637,42,1,4,-1,36,"NY",1,-1,1,36,1,0,1,1,1,-1,2,-1,-1,3,-1,-1,-1,1,1,1,-1,-1,-1,-1,-1,-1,2,-1,-1,-1,-1,-1,11,-1,-1,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,20,-1,-1,-1,1,2,85,0,75,60,20,-1,-1,-1,-1,-1,1,2,1,1,1,-1,1,-1,2,6,1,1,-1,1,2,32,4,2,-6,-2,-6,-6,-6,2,10,5,13,26,1,10,2,1,1,-1
2515,2.9223,45,1,1,2,12,"FL",3,-1,-1,-1,-1,-1,-1,-1,-1,1,2,-1,-1,2,-1,-1,-1,1,1,1,-1,-1,-1,-1,-1,-1,1,1,-1,-1,-1,-1,10,-1,-1,-1,1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,20,20,21,-1,2,4,85,0,100,50,20,-1,-1,-1,-1,-1,2,1,1,1,1,2,-1,-1,1,7,3,-1,2,4,2,31,4,2,-1,-2,-1,-1,-1,3,251,2,9,12,30,0,30,1,1,-1
2516,0.6129,47,1,1,1,50,"VT",1,-1,1,50,1,1,0,2,-1,-1,1,2,-1,3,-1,-1,-1,1,1,1,-1,-1,-1,-1,-1,-1,1,1,-1,-1,-1,-1,31,-1,-1,-1,1,1,-1,-1,-1,-1,-1,-1,-1,1,1,-1,-1,-1,-1,20,20,20,20,2,4,83,0,78,5,20,-1,-1,-1,-1,-1,1,1,2,1,2,-1,2,1,-1,1,1,1,-1,1,1,67,11,1,4,1,1,1,1,1,880,8,16,19,21,3,21,1,1,-1
2517,0.4478,48,1,3,3,35,"NM",1,-1,1,35,0,0,1,3,2,-1,2,-1,-1,3,-1,-1,-1,1,2,1,-1,-1,-1,-1,-1,-1,2,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,21,-1,-1,-1,2,4,0,80,16,70,10,2,48,52,48,52,2,2,1,2,1,1,-1,1,-1,1,2,2,-1,6,2,34,4,5,-6,-2,-6,-6,-6,3,10,5,13,35,26,0,26,1,1,-1
2518,0.8959,52,1,1,1,8,"CO",1,-1,1,8,1,0,1,2,2,-1,2,-1,-1,3,-1,-1,-1,1,2,2,-1,-1,-1,-1,-1,-1,1,1,-1,-1,-1,-1,11,-1,-1,-1,1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,21,20,21,-1,2,4,30,70,15,60,10,1,52,48,60,40,1,1,1,1,2,-1,2,1,-1,1,2,2,-1,6,2,55,9,1,4,1,1,2,1,2,880,8,13,8,34,2,34,1,1,-1
2519,1.8309,52,2,3,3,51,"VA",3,-1,-1,-1,-1,-1,-1,-1,-1,2,2,-1,-1,1,-1,-1,-1,-1,-1,-1,1,2,1,-1,-1,-1,-1,-1,-1,1,2,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,31,31,-1,-1,1,2,40,70,70,50,10,5,45,55,40,60,3,2,1,2,2,2,-1,-1,3,5,2,2,-1,6,2,18,1,5,-1,-2,-1,-1,-1,1,199,2,7,-9,2,0,2,1,1,-1
2520,1.6034,53,2,2,3,42,"PA",1,-1,1,42,1,0,1,3,4,-1,2,-1,-1,3,-1,-1,-1,1,2,2,-1,-1,-1,-1,-1,-1,1,1,-1,-1,-1,-1,11,-1,-1,-1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,21,20,20,-1,2,4,32,61,31,30,20,-1,-1,-1,-1,-1,2,2,1,1,1,-1,1,-1,1,7,3,-1,2,4,1,54,8,1,4,1,1,2,1,2,880,8,9,42,40,0,40,1,2,-1
2521,1.6128,55,1,2,2,55,"WI",1,-1,1,55,1,0,0,3,-1,-1,1,5,-1,3,-1,-1,-1,1,2,2,-1,-1,-1,-1,-1,-1,1,2,-1,-1,-1,-1,11,-1,-1,-1,1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,21,21,21,-1,2,3,15,65,15,65,20,-1,-1,-1,-1,-1,1,1,1,1,1,-1,2,2,-1,2,2,2,-1,6,2,56,9,1,4,1,1,2,1,1,250,2,9,55,18,2,18,1,2,-1
